section	topic	count_or_scope	current_status	why_it_matters	recommended_action	before_final_tree	main_evidence_table
read_me	how_to_use_these_tables	four_tsv_files	start_here	00 is the report-ready summary; 01 is the 49-strain decision table; 02 is the 898-strain register; 03 is the pair-level evidence audit.	use 00 for supervisor meeting and filter 01/02 by attention_level	do not collapse sequence linkage and taxonomy label into one conclusion	all four TSVs
catalogue_scope	current_catalogue_and_historical_baseline	897 current rows; 898 display rows	NCPPB 4416 absent from current webpage but retained with NCBI counts=0	prevents silently treating a historical row as current data	report current snapshot and historical baseline separately	confirm whether 4416 remains in the project scope	02_all_898_strain_status_register.tsv
identity_evidence	confirmed_biosample_links	533 confirmed pairs; 360 strains	structured identity evidence accepted	identity linkage is the prerequisite for downstream sequence use	retain source URLs and evidence fields	refresh NCBI before a frozen release	02_all_898_strain_status_register.tsv
sequence_input	automatic_safe_input	308 strains	262 Assembly + 46 WGS SRA fallback	these are sequence candidates, not finished phylogenetic genomes	download and perform QC, contamination screening, ANI and deduplication	define genus-wide versus species-specific tree	02_all_898_strain_status_register.tsv
taxonomy_audit	49_taxonomy_or_pathovar_blocked_strains	49 strains; 57 BioSample pairs	audit completed at sequence-linkage level	48 are conditionally usable for genus-level tree/QC/ANI; taxonomy labels remain restricted	use 01 decisions and 03 pair evidence	do not use the 48 for species/pathovar groups until ANI and supporting evidence	01_taxonomy_pathovar_audit_49.tsv
taxonomy_audit	cross_genus_exception	NCPPB 2930	NCBI organism=Sphingomonas sp.	exact NCPPB identity does not justify including a cross-genus genome in a Xanthomonas tree	keep isolated; independently re-identify/re-isolate	exclude from Xanthomonas main dataset	01_taxonomy_pathovar_audit_49.tsv
identity_review	provisional_identity_only	25 strains	not automatically usable	medium-code or title-only evidence needs direct human confirmation	keep isolated from tree input	resolve or exclude	02_all_898_strain_status_register.tsv
missing_data	no_confirmed_public_sequence	512 strains	no confirmed public genome/WGS resource	absence reflects current retrieval evidence, not proof that no sequence exists anywhere	optionally start separate Nucleotide single-gene or literature search	do not represent as genome-negative biology	02_all_898_strain_status_register.tsv
identifier_review	disabled_other_identifiers	232 identifiers	not automatically searched	weak, digit-free or colliding identifiers could create false positives	manually decide whether each identifier becomes search-eligible	re-run only after decisions are documented	identifier_review_queue.tsv
scope	reclassified_outside_xanthomonas	13 current catalogue rows	retained with explicit scope status	they may be historical collection records or potential outgroups, not automatically Xanthomonas ingroup	ask supervisor whether to retain as outgroup/history	freeze genus scope before core-genome analysis	02_all_898_strain_status_register.tsv
metadata	host_geography_date_isolation_source	81 complete; 267 partial; 549 missing	context fields are incomplete	these fields can support iTOL annotations but missingness is not a biological result	use only observed values; label missing explicitly	do not infer pathogenicity from names	02_all_898_strain_status_register.tsv
phenotype	pathogenicity	not automatically assessed	not inferable from species/pathovar name	pathogenicity requires phenotype or literature evidence	create a separately sourced phenotype table if needed	keep phenotype claims separate from NCBI metadata	00_project_attention_summary.tsv
sequence_scope	what_the_pipeline_retrieves	Assembly + WGS SRA	single-gene records not searched	16S/gyrB/rpoD need a separate Nucleotide workflow	ask supervisor whether a marker-gene module is needed	do not compare genome and single-gene counts	00_project_attention_summary.tsv
quality_control	genome_QC	not yet completed	identity confirmation is not genome quality	perform completeness/contamination/length/contiguity and duplicate checks	only QC-passing genomes enter final tree	02_all_898_strain_status_register.tsv
freshness	NCBI_evidence_date	saved V2.1 evidence	current results were safety-gate recomputed, not freshly queried	remote records can change	use --refresh-cache before final freeze	record run date and cache policy	run_manifest.json
