search_term	prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	non_target_organism_rows	target_organism_rows	clear_noise_rows	current_policy_recommendation	field_strategy_recommendation	example_title
A[All Fields] AND 5[All Fields]	A	source_context_single_letter_code	low	200	0	200	0	200	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
R[All Fields] AND 662[All Fields]	R	source_context_single_letter_code	low	200	0	200	0	200	disable_default	disable_default_do_not_replace_with_biosample	Human sample from Homo sapiens
S[All Fields] AND 10[All Fields]	S	source_context_single_letter_code	low	200	0	200	0	200	disable_default	disable_default_do_not_replace_with_biosample	Shorebird diet sample 1459
X[All Fields] AND 3[All Fields]	X	source_context_single_letter_code	low	200	0	200	0	200	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Crocodylus niloticus x Crocodylus siamensis
ALF[All Fields] AND 1[All Fields]	ALF	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Invertebrate sample from Ostrinia kasmirica
ARK[All Fields] AND 1[All Fields]	ARK	person_or_local_reference_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Genome skim of Uropterygius xanthopterus MNHN-IC-2008-0250
ARK[All Fields] AND 2[All Fields]	ARK	person_or_local_reference_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	not applicable blank sample EX2205_EX2206_PCRBlank_Plate4_12S
A[All Fields] AND 12[All Fields]	A	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
A[All Fields] AND 26[All Fields]	A	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
A[All Fields] AND 6[All Fields]	A	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from metagenome
BIRD[All Fields] AND 52[All Fields] AND 3[All Fields]	BIRD	person_or_local_reference_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Host-derived Usutu virus, dead free-ranging bird, the Netherlands
BM[All Fields] AND 12[All Fields]	BM	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from gut metagenome
BOX[All Fields] AND 3[All Fields]	BOX	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Opening Pandora's box; Description of five novel species in the ambrosia clade of Neocosmospora
BT[All Fields] AND 3[All Fields]	BT	contextual_reference_code	medium	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Black Thorn
B[All Fields] AND 004[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 006[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 017[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 018[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 100[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	SMARCA4_Fixed_B
B[All Fields] AND 1021[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 1160[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 1198[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 130[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 1350[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 136[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Compost_16S
B[All Fields] AND 1444[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 1548[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 1603[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 2019[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMARKS Survey related sample from water metagenome
B[All Fields] AND 2024[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome or environmental sample from soil metagenome
B[All Fields] AND 2330[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	1592959F1586417
B[All Fields] AND 2340[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	ERR7745819_bin.123
B[All Fields] AND 2404[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_02609934 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 2602[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_02634647 in SPIRE v01 classified as Ruminococcus_E bromii_B
B[All Fields] AND 315[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 323[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIMS Environmental/Metagenome sample from plant metagenome
B[All Fields] AND 325[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Compost_16S
B[All Fields] AND 337[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 343[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 349[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 370[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 373[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 377[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 386[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 400[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 401[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 406[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	MIGS Eukaryotic sample from Myotis sodalis
B[All Fields] AND 4539[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenome-Assembled Genome spire_mag_02277981 in SPIRE v01 classified as Enterococcus_B hirae
B[All Fields] AND 454[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 462[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	RSVB4-B49-02SV230010969 human respiratory syncytial virus clinical sample from the United Arab Emirates
B[All Fields] AND 463[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 47[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	Metagenomics data for rumen solid sample from Flora 221 with treatment B
B[All Fields] AND 494[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
B[All Fields] AND 495[All Fields]	B	source_context_single_letter_code	low	100	0	100	0	100	disable_default	disable_default_do_not_replace_with_biosample	"Sample from a human participant in the dbGaP study ""Natural History Study of Non-A, Non-B Post-Transfusion Hepatitis (NANB-TAH_BioLINCC)"""
